Time: 2024-11-29 17:33:25, X_best: [4.849978265030178, 2.4125383569563867, 4.923646842769255, 2.1809910163249273, 29.59135717933664, 14.471962069222323, 19.728176800825214, 3.716158562511214], pos+0.1*ang, Spiral (better)
Time: 2024-11-29 17:39:05, X_best: [4.279193529329394, 0.5458367621955496, 4.909610926141152, 0.4346721358096789, 24.32918830881178, 6.735498493121389, 17.376156650771524, 0.575975893532461], pos+0.1*ang, Four-leaf clover
Time: 2024-11-29 17:48:08, X_best: [4.748940157564426, 0.469647222284727, 4.992118011011425, 0.6634621009136538, 16.722161067485008, 5.699908009365622, 17.685060028970394, 0.47858791923934385], pos+0.1*ang, Four-leaf clover
Time: 2024-11-29 21:35:40, X_best: [2.795309872771896, 0.08939787366282814, 2.0026226038608503, 0.7223792072572177, 29.565256364202867, 14.956821388533756, 17.11005268430943, 0.4704641552989347], pos+0.1*ang, Four-leaf clover (1000)
Time: 2024-12-2 17:24:24, X_best: [3.0523102798810315, 0.9707002901461675, 4.773179895514516, 1.1669308110406247, 16.00470475763941, 8.217127883847773, 17.466153367720644, 2.3753766109533903], pos_error, Ellipse (BO_baseline)
Time: 2024-11-29 16:44:00, X_best: [1.61802551898528, 0.9563180114656211, 2.9455100795704023, 1.590452368674602, 22.627590067729336, 14.518597907371449, 16.440088100538095, 2.3288498526564947], pos+0.1*ang, Ellipse (better)
Time: 2024-12-07 17:03:56, X_best: [2.4072319861877944, 1.1177837202417729, 0.931257950917781, 0.4007567734145976, 15.18091718709083, 5.013179923390205, 27.713004830064556, 3.1048918772723426], pos+0.1*ang, Ellipse (fantastic baby!)
Time: 2024-12-07 21:50:57, X_best: [3.2553698964092215, 1.455584783092283, 4.008733100275393, 1.176207145105976, 26.098291011793947, 14.73419162022154, 14.189357123460882, 1.6341432414592165], pos+0.017*ang, Ellipse (not bad)
Time: 2024-12-07 22:13:59, X_best: [1.6884248505114552, 0.8794733585850336, 4.5402740183709165, 1.4603848394154448, 18.064691145509276, 5.5924890287434845, 28.952123485793447, 3.6563105669976617], pos+0.017*ang, Ellipse (not bad)
Time: 2024-12-07 22:25:56, X_best: [2.0898750431255646, 0.9518097428552279, 2.301146951544421, 1.4903564423414408, 27.73785892886808, 12.66678113485402, 24.17063979856804, 2.8160931041755948], pos+0.017*ang, Ellipse (not bad)
Time: 2024-12-07 21:59:10, X_best: [4.1290460167929455, 1.658512237604236, 3.6269989317807005, 1.5531462675871455, 15.14111944246109, 8.594961449742492, 29.81196117343877, 3.970429292757089], pos+0.017*ang, Ellipse (good!)
Time: 2024-12-07 22:11:29, X_best: [2.955006547866112, 1.2178593689871176, 3.091285671333621, 0.8903069139805759, 29.949511015101393, 14.947586660974865, 27.97822769630376, 3.73041949789767], pos+0.017*ang, Ellipse (very good!)
Time: 2024-12-08 18:14:49, X_best: [0.766120325522523, 0.3473264946573882, 0.622421520469798, 0.16703840346379262, 15.017367150831937, 5.174739150597794, 29.271871155229412, 2.7110107410066], pos+0.1*ang, Ellipse (not bad)
Time: 2024-12-08 18:57:03, X_best: [3.1909873706227194, 0.637225361057153, 0.4266631352047656, 0.07716792349928969, 28.52320860088323, 5.111902254638539, 10.262428813561371, 0.7389143798942316], pos+0.1*ang, Ellipse
Time: 2024-12-09 16:11:36, X_best: [4.10285363022142, 1.5351263655921532, 1.2773435060053044, 0.33915246235421637, 29.630541080953996, 13.85710511612602, 29.451228425998867, 3.4378243934532167], pos+0.1*ang, Ellipse (not bad)
Time: 2024-12-26 16:51:55, X_best: [0.36839078939296555, 0.1598548761908336, 0.8294833518726591, 0.06587172974933386, 16.098737035618562, 5.224200127179403, 29.357930591271337, 1.1076598153098627], pos+0.3*ang, Ellipse
